"kossan_urls_link","kossan_urls_date_date","kossan_urls_date_user","kossan_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 18, 2021 6:20 PM","Ahboy96","buy when during cheap... glove is still necessary during this pandemic..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 19, 2021 10:07 PM","WaterBlower","Ah Mabel is here meow meow~
I miss your meow meow, I meow you, you meow me, we meow meow meow together!!!"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 20, 2021 1:05 PM","Kabali","Buying more next week.....rebound due"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 21, 2021 8:05 AM","ket4212","morning everyone"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 21, 2021 8:38 AM","Bgt 9963","Post removed. Why?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 21, 2021 8:50 AM","ket4212","brother 9963 have a nice day"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 21, 2021 12:32 PM","Will76","KUALA LUMPUR (June 21): PublicInvest Research has downgraded the rubber glove sector to ""neutral"" as it expects average selling prices (ASPs) for the sector to decline gradually in the second half of the year (2H21), following the improving Covid-19 situation in both the largest glove consuming markets, the US and the European Union (EU).
Its analyst Chua Siu Li in a note today cut her earnings forecasts for the sector by 10% to 35% on the back of lower ASP assumptions.
According to her, the improving Covid-19 situations in the US and EU resulted in much lesser urgency for distributors to immediately replenish inventories back to usual levels of two to three months.
“The buyers are adopting a more careful stance currently to avoid locking in purchases at high prices.
“We expect ASPs of gloves to start trending lower in the second half, supported by the improved Covid-19 situation as well as lower raw material prices as tight supply of nitrile butadiene latex continues to ease and [with a] better yield for latex concentrate after the end of the wintering season in May,” she said.
She also noted that glove makers’ commitment to stepping up on their social compliance practices will also translate into higher costs going forward, and she reckoned that it would take time for glove makers to fully pass on the cost increase to buyers, so it should result in margin compression in the near term.
Chua downgraded her rating of Kossan Rubber Industries Bhd to ""neutral"", with a lower target price (TP) of RM3.65.
“We cut our FY21 to FY23 earnings forecasts for Kossan by 37% to 51% to account for the expected decline in ASPs,” she said.
She also maintained her ""neutral"" call on Top Glove Corp Bhd but lowered her TP to RM4.40."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 21, 2021 3:14 PM","NatsukoMishima","Cases higher price stagnant , cases lower price waterfalling ! How to play like this ?.."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 21, 2021 4:24 PM","Kevin Tam","Public research is slow to downgrade those glove counters in this month ; while the Delta variant make more uncertainty toward the EU n Asian countries near term recovery.... The TP of 3.60-3.65 by Public is irrational n they r silly to give too many review n TP every 2 weeks ..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 21, 2021 5:02 PM","Ahboy96","not bad today... still staying at 3.60"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 21, 2021 5:22 PM","OkieDokie","Analysts work for IBs and IBs are the paymasters. IBs are trying to milk from the retailers so what do you expect from stuff that are written by analysts"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 22, 2021 8:25 AM","Hl123456","https://manufacturing.einnews.com/pr_news/544358935/disposable-medical..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 22, 2021 8:34 AM","Bgt 9963","Post removed. Why?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 22, 2021 12:09 PM","BrusaCasino","EPF selling"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 22, 2021 7:27 PM","kahfiehlai","Buying instead"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 23, 2021 12:48 PM","bf70","What tp can buy? 2.5."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 23, 2021 12:56 PM","bf70","Everyday about 10sen fall.
Price tomorrow 3.3x."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 23, 2021 2:28 PM","AdCool","low volume but dropped a lot. You should know what it means."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 23, 2021 2:49 PM","DChosen2","Come 2.8 all in ady."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 23, 2021 4:12 PM","AdCool","Remember that JP Morgan gave TP 3.80. Technical indicators showing oversold now."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 23, 2021 4:31 PM","software guy","Public Invest has helped JP Morgan to get more cheaper sales to close their RSS by lowering down to TP to 3.65."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 24, 2021 9:00 AM","5354_","Who sell when EPF keep buying?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 24, 2021 11:42 AM","Sneakpeek","Harta / TG / Ruberex all reach lowest price in 52 weeks already..
Kossan / Spermax not far away..maybe today or tomorrow can join the party
Left Careplus / Comfort / HLT"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 24, 2021 11:48 AM","Colgate","Which price to buy Bro?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 24, 2021 12:23 PM","Hustle","Impossible EPF help JP Morgan do RSS, if yes Kossan boss already do share cancellation"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 24, 2021 1:21 PM","Hidup_Anwar","EPF RSS behind drop?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 24, 2021 1:55 PM","AdCool","everyone conveniently forget bout those poorer countries situation. Brazil has not even recovered from the pandemic since early this year. And South America are facing such a dire situation but nobody reported it as if they have been totally censored and ignored.
https://www.reuters.com/world/americas/brazil-sets-new-single-day-reco..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 24, 2021 2:35 PM","NatsukoMishima","Now is daily 10 sens drop , next week is 20 sens ,next next week is 30 sens , it will drop more n more daily until pre pandemic level that wanted by bankers !"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 24, 2021 3:12 PM","AdCool","3.80 was the TP and now they are having extra discount for collection. Just be patient."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 3:13 PM","Beary","This pandemic is becoming endemic meaning the virus is here to stay for at least a couple more years to come.
When countries open up, more people will return to work, play and travel.
When more peoples return to work, play and travel, demand for gloves will go up even more.
New normal dictates that gloves are not just for the medical/health sector alone.
Don't believe me?
I went to a bank yesterday and saw even some tellers were wearing gloves, not all of them though. It is not far fetched to suggest that very soon it could become company policy to supply gloves to all their front line staff.
Just imagine all the other sectors other than medical where people starts wearing gloves as a precaution for example aviation, f&b, cashiers, barbers, masseurs, beauticians etc etc. I can go on and on until tomorrow...
The more countries open up, the more the demand for gloves will be.
One more thing, even if the market crashes tomorrow, gloves will remain strong solely due to its extraordinary earnings for years to come.
Now tell me, are there other such counters in bursa other than gloves?
Please let me know if there are."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 3:29 PM","NatsukoMishima","JPM will cut 50% more next week ! Stay tune!"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 4:13 PM","AdCool","JPM will increase 15% TP next month. Stay tune!"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 6:06 PM","Mabel","KLCI closes at four-month low - TheStar
KLCI slips as domestic political risk continues to drag sentiment - TheEdge"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 6:19 PM","L2","Would it hazard to surmise that the incessantly relentless one-sided torps to deep sink the glove titans seem altogether a coordinated campaign to desensitise fundamentals, devalue positive metrics and steer technicals to render them irrelevant and drown the entrapped?
Some of the observed tactics were to firstly regress Spmx to 1.00 below TG, followed by continually depressing Koss to crack and delimit the floor for Spmx, along with precision-timed, nostradamus-level farsightedness albeit somewhat misguided debasing downgrades for the sole purpose to contain any potential reversal to the upside at every glimmer of hope, every silver lining, every opportunity.
Latest case in point : while Comfort's sterling noon results on 21jun boosted its price trajectory at the pm open, banded stranglers instantly waterfalled both Spmx and TG in equal coordinated flash to snuff out any catalysing effect from Comfy. Their pm intraday trajectories could not have been more obviously and desperately divergent. Complicitly, one IB busybodiedly decided to neuter Koss TP at the break just to enable Spmx's lockstep descent after 1430h without psychological constraint. Well-oiled mauling bear machine?
That too will have its day of reckoning, at 20k leagues under."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 6:55 PM","Colgate","Brother at what price this stock we can buy?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 6:57 PM","Colgate","Now is the downtrend very risky to buy the stock correct or not?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 6:58 PM","Colgate","So brother what is the correct price to buy?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 10:36 PM","VTrade","Ask delta plus cdc fda"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 10:48 PM","tamp0i","Tempting... So yummy... Buy until delisted... Kekekeke"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 11:03 PM","neutralist","tampOi wow. delisted through privatisation? niceee."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 24, 2021 11:46 PM","tamp0i","FYI... Quick statistic noticeably from EPF shares available:
30 Apr = 200,185,200
31 May = 216,154,300
18 Jun = 224,536,400
Woot woot... Accumulating in process... Even EPF also will buy until like I said, delisted, kekekeke"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 25, 2021 1:11 PM","tailangong","Die la if dropping like this, how many weeks liao."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 25, 2021 2:29 PM","Kevin Tam","The fall of Kossan, Supermax, Topglove n Harta of last 5-6 days is less relevant to RSS coz RSS in Malaysia is not strong, being restricted to max ; even is selling short, why investors here keep mentioning JP morgan, JP morgan the first brokerage house to downgrade Topglove n Kossan to TP of 3.50 n 3.70-3.80 in last december but doesnt mean until now, they r still shorting the top 4 glove counters.... The fall should be triggered by retail investors n some funds....But Kossan at 3.30already at low level n showing value whereas Topglove at 4.35-4.45, still got room to drop further..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 25, 2021 2:52 PM","Loh Kok Wai W","https://www.chinapress.com.my/?p=2564028........glove counter downgrade."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 25, 2021 4:54 PM","NatsukoMishima","JPM will cut 50% more next week !"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 25, 2021 4:57 PM","Bgt 9963","Post removed. Why?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 25, 2021 7:13 PM","Benny1123","Better kossan take over his company if keep dropping... So cheap.."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=241","Jun 25, 2021 7:13 PM","Benny1123","Billion profit.. Company"
