fintec_url_date_date;fintec_url_date_user;fintec_url_date_comments
11/1/2019 16:20;ATARAH;Bursa thematic is IOT then fintec fly
11/1/2019 16:21;ATARAH;Financial Fintec ok other wise how to subscribe shares for the hotel business ?
12/1/2019 14:18;Daily8;Dnonce chairman is also chairman for Fintec and Netx
14/1/2019 5:25;Fintec;Venfx and many lousy promoters here. See how people like stockraider, CalvinTanEng promote Insas.
15/1/2019 9:32;kelvin17;there it goes 0.065 and down , look like this counter no hope .....the bosses must be a bunch of old people no more energy....
15/1/2019 17:08;scott88;"drop very good
add more share"
15/1/2019 17:17;R Saleh;fintech need more buyer..ha ha
15/1/2019 19:11;Daily8;"We refer to the Company’s announcements made on 9 November 2017, 28 February 2018, 30 May 2018, 29 August 2018, and 30 November 2018 pertaining to the Memorandum of Understanding (“MOU”) entered between Asiabio Petroleum Sdn. Bhd. (“ABP”), a wholly-owned subsidiary of FINTEC, and Peri Formwork Malaysia Sdn. Bhd. (“PERI”) and AT Engineering Solution Sdn. Bhd. (hereinafter referred to as “the Parties”) to collaborate in the technology localization of PERI’s formwork and scaffolding systems.
The Board of Directors of FINTEC wishes to inform that in light of the absence of any further progress on the MOU, the Parties have mutually agreed to terminate the MOU with immediate effect.
This announcement is dated 15 January 2019."
15/1/2019 19:12;Daily8;Thanks for terminating this project. Never like it from the beginning.
19/1/2019 23:35;FutureGains;NOW or NEVWE Fintech Immed tp RM0.30 PA 18c
21/1/2019 23:01;aliciachung;Hopefully this counter can move
22/1/2019 11:59;Fintec;Focus when last pushed by Fintec? Why Fintec down when Focus up? Not Fintec should gain more when Focus up?
22/1/2019 17:45;jackMaDe;fintec and focus related?
22/1/2019 22:23;leeno;related your head
22/1/2019 22:24;leeno;everytime got MOU, than just cakap-cakap je,
22/1/2019 22:24;leeno;nothing done in the end
23/1/2019 16:14;kelvin17;so many acquisition like Zouk , hotel resort etc...thinking co moving in the right direction share price should moving higher from 0.07 and not keep sliding now to 0.055 . Does it means the co is moving in the wrong direction ...and the confident of share holders is down n down...
23/1/2019 18:04;ATARAH;keep medium term. should reach RM0.08 cents by CNY. CNY rally loh
23/1/2019 18:06;ATARAH;Wrong direction maybe .. but Penang resort 5 star resort .. as long make money 5 star resort
25/1/2019 14:03;gghaha;hahaha.....wait a year and a year pa...
29/1/2019 15:22;8888_;My similar ID user dead? Why 1 ctr also cannot promote?
29/1/2019 23:01;aliciachung;Hopeless for this counter
31/1/2019 14:55;gghaha;ya...0.05 oredi...keep going down..
1/2/2019 9:59;5354_;12.5-12.6 Tenaga Fintec must prepare buy back hehe. Perhaps when QR out Tenaga RM 12?
1/2/2019 10:01;5354_;Got hear Fintec job vacancy?
1/2/2019 11:45;scott88;Got Investment manager, go to apply
8/2/2019 22:40;FutureGains;boss coverted 2,000?000PA @.16
8/2/2019 23:29;didi2005;9.3% of total issued ICPS PA has been converted to mother shares...
13/2/2019 12:36;kelvin17;what is the significant of converting ICPS to mother shares ?
15/2/2019 13:37;kelvin17;if you can easily buy the mother share at 0.06 why need to pay 0.08 to convert ICPS to mother shares ??? no logic
16/2/2019 1:59;deathgodwoairuo;yes..why?
16/2/2019 2:18;newplayerone;because if you buy from the market, the price will shoot up and it will be more expensive. Converting ICPS is guaranteed and increase the holdings without increasing the cost....my 2 cents lar :)
16/2/2019 9:58;kelvin17;the boss was only converting 2 million shares while the market has more than 4 m selling at 0.06 and no buyer also. I suppose he can easily collect 100 m below 0.08. still no logic
17/2/2019 18:10;FutureGains;zouk genting opening ceremony today!
17/2/2019 21:48;deathgodwoairuo;zouk got what related wif fintec?
19/2/2019 15:36;Daily8;this counter need pushing job.
19/2/2019 17:29;FutureGains;collection period by spider man
25/2/2019 9:58;FutureGains;QR 28/2.....shd be loss !
27/2/2019 18:43;kun1971kun;Ya should be loss
4/3/2019 9:22;FutureGains;runnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn!
5/3/2019 14:26;Edric Soh;Run under wear?
7/3/2019 10:38;8888_;Fintec own Vsolar 8888(similar my ID) don't know?
7/3/2019 11:21;FutureGains;fintec boss buy more vsolar...stay tune ..tp rm.20 same as vsolar
7/3/2019 11:27;FutureGains;focus is oledi move ......keep it up 1111
8/3/2019 9:03;Jessgoh;Auditor also run.....
8/3/2019 12:20;scott88;"hahaha...
So now know what going on lol"
8/3/2019 12:38;wong;Fintec Investment portfolio FOCUS,DGB,VSOLAR in profitable.waiting all investment portfolio profitable , after that fintec can up la...
8/3/2019 12:40;Fintec;"Bec too stingy don't pay auditor well haha.
Posted by Jessgoh > Mar 8, 2019 09:03 AM | Report Abuse
Auditor also run....."
8/3/2019 12:41;Fintec;Money use to keep or buy more shares.
8/3/2019 12:43;5354_;Tenaga 12.5-12.6 also look good to pick up back.
8/3/2019 12:44;wong;FOCUS,DGB,VSOLAR all above 10 sen ,fintec invest buy below 10sen stock
8/3/2019 13:50;scott88;"Focus , Vsolar , AT , Netx and Fintec all office at same tower is Menara Lien Hoe.
think the hide same boss how playing game money to round and round (right hand to left hand)hahaha..."
12/3/2019 14:54;gghaha;waiting at 0.04....
14/3/2019 14:17;FutureGains;runnnnnnn.goreng next qr..
15/3/2019 10:44;aliciachung;No volume how to goreng
15/3/2019 12:12;FutureGains;focus. and vsolar at high price. vsolar is 21c..fintech hold substantial in vaolar. so next QR IS profit
19/3/2019 16:24;gghaha;the way i see ppl to convince them self since last 2 years...:)
19/3/2019 20:28;FutureGains;use share issued fund buy disco zouk
19/3/2019 22:21;shpg22;Boss can party more while shareholders licking the wound.
19/3/2019 22:50;sg999;Next AGM at ZOUK!!!!
20/3/2019 4:40;Fintec;Market cap RM 31 million got cash RM 28.95 million to buy Zuok meaning cash is not fake.
20/3/2019 4:40;Fintec;https://www.thestar.com.my/business/business-news/2019/03/19/fintec-gl...
20/3/2019 4:41;Fintec;Blame Bursa crooks why Fintec only 5 sen when assets >20+ sen.
20/3/2019 4:43;Fintec;The acquisition will also broaden up the group's F&B investments, as well as to provide avenues for the group to establish commercial deals that may be beneficial to its other investments.
20/3/2019 9:13;kelvin17;its a wrong move to buy Zouk that is why market reacted negatively. Should have invested in fintec type of business
20/3/2019 9:18;FutureGains;https://www.theedgemarkets.com/article/fintec-global-takes-control-zou...
20/3/2019 9:59;bfg9000;"This company is not a Fintech company, despite the name. It was not a Biotech company when it was AsiaBio. It just names itself after whatever is ""hot"" at the moment. Maybe it will soon call itself BossKu Global.
Keypoint is that their P&L is like fantasy football. Maybe having a few more real business will at least bring some reality to it."
20/3/2019 10:25;shpg22;Soon they will diworsified into funeral parlour business.
20/3/2019 10:27;shpg22;From its name change every time a certain industry is hot, even tho its core business is not related to it, u know its setup to scam.
20/3/2019 10:29;FutureGains;"ZOUK COMING.
.PROFIT EACH YEAR RM4 MILLIONS.."
20/3/2019 10:30;FutureGains;"5.5c GONE
IMMED TP RM0.10"
20/3/2019 10:30;FutureGains;funeral is a business. pls be mindful. yr father needs it
20/3/2019 10:35;zul;remisier aku cakap UMNO dulu ialah market maker, 80%saham didalam bursa digoreng oleh BN.
20/3/2019 10:45;zul;80% punya syarikat dalam bursa dicontrol oleh BN gangs ...HIDUP BOSSKU.......
20/3/2019 11:04;shpg22;stncws...you may need it very soon. That why its a good business. Won't short of potential customer.
20/3/2019 11:07;FutureGains;yes. same to u
20/3/2019 11:54;liverpool82;go go go afternoon 0.06
20/3/2019 12:30;BN_better;10 months under PH 5.5 sen max can get?
20/3/2019 14:00;VenFx;"Lets go to ZOUK
and goyang buntut yaa !"
20/3/2019 14:29;Daily8;Mdnizam. nonsense. bossku who? najib?
20/3/2019 14:32;VenFx;"Aiyo, jis linked ?
must run fast fast lo ..."
20/3/2019 15:51;Desmond Nah;can go up or not since earning so much on vsolar
20/3/2019 17:28;Daily8;patient required
21/3/2019 9:50;7300;patient waiting for stripee show
21/3/2019 11:48;RichEnigma;"https://www.klsescreener.com/v2/news/view/505030
Hopeless company... Go buy Zouk Disco 夜店，why not focus on core business?"
21/3/2019 16:47;FutureGains;zouk also business
21/3/2019 17:03;gghaha;way to wash out the money .....
21/3/2019 18:55;bfg9000;Their core business is buying stakes in other business... wanna be like China Ding Yi Feng Holdings Ltd
21/3/2019 23:27;aliciachung;Ya hopeless counter
22/3/2019 9:23;FutureGains;Vsolar 24c..mean Fintec good profit
22/3/2019 9:23;FutureGains;buy more
22/3/2019 17:52;bfg9000;paper profit and paper losses... thats why i say this counter the financials are hard to read as hell
6/4/2019 20:55;Daily8;the magt doing something. just wait and no contra
9/4/2019 16:59;novice77;Be patient. It will go up one day.
9/4/2019 17:07;Garry Yong Chee Seng;If can't perform. The better way was clear all asset refund to us. Poor management...most of qr loss..
9/4/2019 22:22;aliciachung;Hopeless counter
10/4/2019 21:18;Hussainy Yusree;Hold almost a year now...this is not investments..this is lame company and full of stupid bos
11/4/2019 15:38;gghaha;wat biz they invest also die....the strong TNB also will be same...:)
11/4/2019 17:04;Monk;Hopeless garbage counter. Executive directors are two useless dildos. Two clowns running a listed company. Real jokers!
11/4/2019 17:05;Monk;Go to their office and see them for yourself.
11/4/2019 19:29;Hussainy Yusree;I also hv think bout that...wadefak this directors do...people invest for u and u sheeettt at business...
12/4/2019 10:09;Monk;It’s looks more like a money laundering listed company.
12/4/2019 11:00;novice77;Lets arrange a date to march to their office and drag the directors out.
12/4/2019 12:26;Monk;I totally agree. These tortoise always in hiding. I believe they might be only proxies.
12/4/2019 15:11;FutureGains;sendiri main share..buy n sell...want top 10
12/4/2019 15:53;gghaha;0.03 waiting ..
12/4/2019 17:25;scott88;"hahaha....@novice77 agreed ....
go menara lien hoe"
14/4/2019 12:55;Hussainy Yusree;Let go...farking directors
16/4/2019 10:17;novice77;sh*t counter! Sh*t leaders.
22/4/2019 12:59;novice77;However this counter will be driven up at some point.
22/4/2019 17:08;FutureGains;disco ia fintech related....crazy mangmt..kena sack
24/4/2019 10:26;Monk;Now the silly clowns performing again. What a joke! Think people going to fall for it again when they are playing their own kukuchiao left to right, right to left.
24/4/2019 10:30;Monk;This company will go nowhere with these two dumbshit directors.
24/4/2019 11:00;FutureGains;zouk GOT PROFIT....!!! qr IN MAY VERY NICE
24/4/2019 11:47;kun1971kun;Zouk got profit? Where to see this?
24/4/2019 12:01;kun1971kun;Where to see zouk got profit?
24/4/2019 12:18;gghaha;even Zouk profit also not enough to cover the mkt loss interest in the pass qtr....dont hope too much...:)
24/4/2019 22:04;FutureGains;today boss gila buy 5c main main...
27/4/2019 17:52;scott88;We can do this 召开特大罢免集团多名董事,change better incharge person ...Hahaha
30/4/2019 15:52;Monk;Change the morons on the boardroom then only got hope.
3/5/2019 1:28;Hussainy Yusree;This year agm attack the bs directo
3/5/2019 9:03;scott88;yes...Attack them
4/5/2019 3:02;Penang456;Penang hotel buy any news?
4/5/2019 3:26;Penang456;"AGM in Sep? Ask give shares like Vsolar, Focus to us can or not?
Hussainy Yusree This year agm attack the bs directo
03/05/2019 1:28 AM"
11/5/2019 15:17;shpg22;Need to venture into funeral parlour business la. Not everyone goto disco. Director become Namo lou
21/5/2019 0:13;FutureGains;"zouk open ceremony today genting
.tmr up up"
24/5/2019 2:29;Zuok;"when to announce consolidation and rights issue again?
STOCK CONSOLIDATION FINTEC 3:1
RIGHTS ISSUE 10 SEN after conso"
24/5/2019 13:05;Fintec;"My post here is attention Mr stncws. I never disposed here to buy other counter so don't bad mouth my counter VC. VC at least the boss is buying not Fintec. Last time I proposed 1 any1 got do?
I said many times like ask for dividend like Focus shares nobody bother?
https://klse.i3investor.com/servlets/cube/post/fintec.jsp"
24/5/2019 13:07;Fintec;"If true why 4-4.5 sen Fintec?
Posted by stncws > Apr 24, 2019 11:00 AM | Report Abuse
zouk GOT PROFIT....!!! qr IN MAY VERY NICE"
31/5/2019 20:07;FutureGains;"tiow...director go to disco spin head... now QR lost.
sept AGM ..F them...."
31/5/2019 20:47;voodoo;interesting counter...
31/5/2019 23:17;8888_;stncws see different thing. voodoo you not stncws other id?
1/6/2019 0:36;scott88;Coming AGM vote to step down all board members..
1/6/2019 14:43;Daily8;mlab, fintec, netx revenues are much lesser this quarter. What is the reason?
2/6/2019 10:26;8888_;"Fintec is like some1 who has many children so how to take care all? Perhaps better is take care those got better chance to be successful ie Focus Dynamics?
Posted by Daily8 > Jun 1, 2019 2:43 PM | Report Abuse
mlab, fintec, netx revenues are much lesser this quarter. What is the reason?"
2/6/2019 10:37;8888_;Previously when Vsolar was chased to 20 sen Fintec still 4-5 sen. If Focus 20 sen perhaps Fintec can rise >5?
7/6/2019 22:14;Kasiuntung11;"https://klse.i3investor.com/m/stock/overview/0020.jsp
Netx to fly next week.cheap company growth stock"
10/6/2019 11:11;Mdnizam;bull market coming... quickly buy cheap stock......
11/6/2019 14:53;Kasiuntung11;"https://klse.i3investor.com/m/stock/overview/0020.jsp
Netx to fly.cheap company growth stock"
11/6/2019 19:47;FutureGains;boss everyday disco..disco..disco...
13/6/2019 14:52;FutureGains;greatech is better than fintec@@@!!!
13/6/2019 14:59;5354_;Fintec can goreng if change PM or govn?
14/6/2019 21:00;scott88;Change board directors.. ..hahaha
17/6/2019 11:27;Kasiuntung11;"https://klse.i3investor.com/m/stock/overview/0020.jsp
Netx to fly .cheap company growth stock"
21/6/2019 17:07;Hussainy Yusree;BOD fakup...vote them to step down on next AGM.
21/6/2019 19:21;scott88;"yes...Agree
step down all board directors
high pay salary to them"
23/6/2019 19:58;YAPSS;"Hey! Today, R-Table will be covering $FINTEC(0150.MY) - Fintec Global Berhad by presenting 10 years financial results in a short, fun & interesting way. Click the link below to watch the video.
Link: https://youtu.be/CePNieHgrrI
#YAPSS #RTable #FintecGlobalBerhad #CashRichSeries"
24/6/2019 15:35;5354_;Change BOD so easy? Not I think bec they will ask how many shares you have to vote?
24/6/2019 15:35;5354_;Focus up why not ask give Focus share(as dividend) coming AGM?
24/6/2019 15:37;ayamtua;FocusNetxFintecVsolar murah mali mali....
25/6/2019 16:29;Penang789;Walao nobody here know Fintec own Focus?
26/6/2019 9:18;Ubah_;Coming AGM vote against director fee like FGV. Ask them(BOD) take 0 salary.
26/6/2019 9:31;Ubah_;When BOD take 0 salary they will resign themselves if not happy.
26/6/2019 15:34;kkl123;"No hurry ,bosses are busy MAIN focus.
few days later will push up fintec also!!!"
26/6/2019 19:29;scott88;Termination zouk, use the money buy own fintec share la...Every day say cheap
26/6/2019 20:15;FutureGains;F.....fintech...play play..
26/6/2019 20:25;FutureGains;boss save disco 28M to goreng FOCUS
26/6/2019 20:53;Ubah_;"This time if goreng Focus to 25-30 sen must sell to take profit. Cash is king unlike previously profit also dumb-dumb hold until Focus drop back to 10 sen.
stncws boss save disco 28M to goreng FOCUS
26/06/2019 8:25 PM"
26/6/2019 20:55;Fintec;VenFx, Daily8 no more here meaning they cut loss?
26/6/2019 23:19;Daily8;"Fintec VenFx, Daily8 no more here meaning they cut loss?
26/06/2019 8:55 PM
still here. No cut."
26/6/2019 23:22;Daily8;"FINTEC GLOBAL BERHAD [""FINTEC"" or ""the Company""]
- TERMINATION OF SALE AND PURCHASE AGREEMENT IN RELATION TO THE ACQUISITION OF 750,000 ORDINARY SHARES OF ZOUK CLUB (KL) SDN. BHD."
26/6/2019 23:25;Daily8;Fintec Management so careful. Sekejap ada, sekejap takda.
27/6/2019 0:12;sg999;cannot attend agm at zouk oledi????
27/6/2019 8:49;Kasiuntung11;https://www.thesundaily.my/business/netx-partners-2go-technologies-for...
27/6/2019 15:10;Good_News;RM 28 million ask them pay as special dividend coming AGM.
27/6/2019 22:20;5354_;Fintec bought Focus where got announcement?
28/6/2019 1:37;Garry Yong Chee Seng;Last announcement on 14 Jun 18, Fintec had 500,307,692 shares on Focus. If multiplied by current price 0.185 worth RM92,556,923.02. Divided by 611m shares, Fintec worth RM0.151/share on Focus, and netx, vsolar, Tenaga & 28m cash etc not yet calc in. It's really under value, but not sure when will wake up fr sleep.
28/6/2019 1:58;Garry Yong Chee Seng;Coming AGM go Ask BOD give Focus share as bonus or vote them get 0 salary:-)
28/6/2019 10:36;Ubah_;Good idea. Make sure i3 members go to AGM.
28/6/2019 10:54;FutureGains;garry..need to count his cost of investment
28/6/2019 21:35;Daily8;When is the AGM?
28/6/2019 21:37;Daily8;Fintec is very cheap. Got cash can buy more and keep
1/7/2019 15:33;steven;bull market coming....
1/7/2019 19:31;Garry Yong Chee Seng;Focus already RM0.205, Fintec please wake up & do something as Focus had contributed more than RM100mil for ur asset.
1/7/2019 22:04;FutureGains;focus 25c..fintech 15c
2/7/2019 11:18;Daily9;AGM in Sep? So we must go and fire directors?
2/7/2019 11:19;Daily9;No go AGM CI 1800 also no use.
2/7/2019 11:32;Daily9;No go AGM Focus 30-50 sen also no use.
2/7/2019 12:28;Garry Yong Chee Seng;C u all at coming AGM.
2/7/2019 12:31;Garry Yong Chee Seng;If BOD can't perform, then sell all asset & close shop, every share holder will more happy.
3/7/2019 9:13;FutureGains;gogog 22.5 hit Tp 30c...then fintec QR profit !!!!!
3/7/2019 9:13;FutureGains;focus 22.5
3/7/2019 18:38;FutureGains;
5/7/2019 10:43;FutureGains;Focus 23c liao..! good qr 31.8 annouce..goreng start for Fintec 15/7/19
5/7/2019 10:53;FutureGains;240 !!!
5/7/2019 11:21;FutureGains;engine start
5/7/2019 11:27;FutureGains;now 5.5
5/7/2019 11:28;FutureGains;HOT !
5/7/2019 11:34;Tan Frank;Focus 255 liao
5/7/2019 12:39;FutureGains;ADD OILL BRO.....IF FOCUS UP AGAIN AFTERNOON..HO SEH LIAO!!!!
5/7/2019 12:45;birkincollector;why would director convert at 0.16??
5/7/2019 12:47;chankuanloong;when n where got director convert ohhhh...
5/7/2019 13:13;novice77;What occasion is this?
5/7/2019 14:59;Eldon;Buyers q at 0.05 coming...
5/7/2019 15:42;chanky50;In October 2017 when Focus Dynamic reached its peak of 0.25, Fintec also reached 0.22. Now Focus at 0.25, Fintec is selling at 0.055. How sad.
5/7/2019 15:49;chanky50;Fintec has 613 million shares but is holding 500 million shares of Focus. Thus each Fintec share has 0.81 Focus share
5/7/2019 17:03;Eldon;Hold...next week hopefully can go up...
5/7/2019 17:11;birkincollector;So turtle
5/7/2019 17:29;Jeffreyteck;TP=50% of NTA.
6/7/2019 8:56;Eldon;Undervalued stock...next week we see how...
8/7/2019 9:31;kelvin17;sleeping counter but has potential to soar to great high , only if you know when
8/7/2019 11:26;liverpool82;coming hit 0.06.....
8/7/2019 11:26;8888_;Can Fintec team cooperate? If Focus reach 30 sen can some1 send e-mail to IR to sell some Focus?
8/7/2019 11:30;8888_;Until now I cannot see some1 said Fintec behind pushing up Focus where are the person?
8/7/2019 11:49;8888_;"Fintec last bought Focus on 13th June 2018 at around 13-14 sen already gain 100%.
https://klse.i3investor.com/insider/substantialShareholder/0116/14-Jun..."
8/7/2019 13:29;kkl123;"If you have holding power,buy now.
bosses still busy with focus .will come to this fintec soon."
8/7/2019 15:58;Daily8;Gain from Focus will reflect into Fintec share price. But are Fintec willing to sell Focus then? Only when gain is transacted, then only it's a capital gain. Share price of Fintec will move. After all Zouk no more in radar.
9/7/2019 11:32;newbie5354_;Where got? Why want cheating?
9/7/2019 11:37;newbie5354_;"AGM when? In meantime do nothing is good?
Garry Yong Chee Seng C u all at coming AGM.
02/07/2019 12:28 PM"
9/7/2019 16:34;chanky50;Who are those selling Fintec at 5 sens???
9/7/2019 16:41;chanky50;Out of 2.68 million share transacted 2.4 million shares sold down to buyers at 5 sens only 0.28 million bought from sellers at 5.5 sens.
9/7/2019 16:44;uncleong;"gone case. 0.45 coming tmr for t+2 force selling.
we are fxxed-up"
10/7/2019 6:20;Daily8;still ok uncleong. Fintec banyak untung from Focus. Let's see the show. Take Care.
10/7/2019 6:22;Daily8;"Direct (units) 500,307,692
Direct (%) 24.51
Indirect (units) 0
Indirect (%) 0.00
Total (units) 500,307,692"
10/7/2019 6:23;Daily8;Fintec hold Focus shares this much oh. It's time for Fintec to go above 10 cents.
10/7/2019 8:11;Jeffreyteck;Looks good. TP= 50% of NTA.
10/7/2019 11:28;Fintec;Nobody read comments in Focus? If their fear become true Fintec do nothing on Focus still right?
10/7/2019 11:51;QUICKLY BUY;cheap PENNY coming....
10/7/2019 17:01;yap50;wolf oredi bye bye..
13/7/2019 9:38;FutureGains;Next QR 31/8...So this month end goreng to Rm15c
14/7/2019 17:47;Fintec;"Unlike in 2017, 2019 only Focus goreng not DGB, AT, Vsolar, Mlab, etc even 6 sen Fintec look hard.
stncws Next QR 31/8...So this month end goreng to Rm15c
13/07/2019 9:38 AM"
15/7/2019 10:23;5354_;Focus 30 sen Fintec still 5 sen?
15/7/2019 10:24;5354_;Why Fintec cannot sell Focus at 30 sen then declare dividend to us any1 can answer?
15/7/2019 10:25;5354_;Who say Fintec use RM 28 million to push up Focus why Bursa never announce?
15/7/2019 11:08;5354_;People in i3 only talk abt Focus. How abt Netx no own by Fintec? Why so active and drop?
15/7/2019 20:15;Ziko Ro;Dead counter !!
16/7/2019 10:51;newbie5354_;Focus, Vsolar not belong to Fintec?
16/7/2019 10:51;newbie5354_;"If dead true what is best way to make it alive?
Ziko Ro Dead counter !!
15/07/2019 8:15 PM"
16/7/2019 11:12;kkl123;"SONS and daughters are rich now.
why father still poor ?"
16/7/2019 12:05;newbie5354_;When Fintec take profit from goreng stocks?
17/7/2019 10:31;Eldon;Really is a rubbish stock, vsolar, focus move so much already, it still stagnant...pui
17/7/2019 13:18;Ziko Ro;U see focus 30 sen now on big support buyers
17/7/2019 18:36;fosther;"Guan Eng may visit China again to attract investments
KUALA LUMPUR (Jul 15): Finance Minister Lim Guan Eng said he may pay another visit to China, potentially Shenzhen again, to attract more investment into Malaysia.
Lim said although the US is the largest foreign investor in Malaysia and is expected to continue to increase, but the potential of China’s capital is increasing.
“China has its advantage, and the US has its advantage. These two countries are among the best in terms of foreign investment, and they are both very important,” he told local Chinese media Kwong Wah Daily in an interview last Saturday.
Lim said if he visits China again next month, his focus will be on investment, so one of the destinations would likely be Shenzhen, to attract high-tech, high-value Chinese major manufacturers to invest in Malaysia.
Lim also said after his first official visit to China earlier this month, both countries' governments are discussing the possibility of establishing an interactive channel for the stock exchanges of both countries.
Lim said he would discuss this further with Chinese authorities if his next visit to the country materialise.
""I hope we can yield some results in the near future,"" he said.
Lim said in addition to investment and business, both countries also hope to strengthen securities and stock exchanges areas.
After a visit to the Shenzhen Stock Exchange, Lim said they are studying whether it is possible to create a new platform that makes both capital and stock markets more competitive, and gain more access to financing.
Lim said this would require further works to be done, including formulation of the technological process and financing mechanism.
Lim hopes that after visiting China, he could accelerate the materialisation of this objective.
On the matter of potential raising of Panda bonds from banks in China, Lim said the Malaysian government is still considering it, as the government thinks that it deserves a lower interest rate.
Meanwhile, Lim said after visiting Huawei’s operation in Shenzhen and meeting its management, the technology giant pledged to strengthen its investment in Malaysia.
Lim also said representatives from Huawei will organise a visit to Malaysia as well, and he is scheduled to meet them to discuss more on the company’s potential implementation of 5G technology in Malaysia.
""They will come in a week or two. When I am in Penang, I will discuss with them,"" he said."
18/7/2019 12:26;FutureGains;crazy fpcus
18/7/2019 12:26;FutureGains;FOCUS
19/7/2019 14:16;kkl123;"Those old old day, when sons are rich ，will give money to their parent.
Nowsaday'Son is son, mother is mother.
focus up to 60cents soon...see how is fintec perform!"
22/7/2019 11:28;uncleong;"all stocks go up except fintec.
I am so disappointed
I sell and go le
take care comrade"
22/7/2019 11:43;yap50;wait 5 years sure got chance to up...
22/7/2019 15:24;chanky50;A most hard to understand stock. Having net cash Rm21 million. Its holding of Focus, Vsolar, AT, Netx, DGB and Mlabs worth Rm184 million at their respective current price. It has only 602 million shares. (21+184)/602=0.34. That is Rm0.34 and it is selling at Rm0.05 now. Sigh!!!!
22/7/2019 17:44;kkl123;"If you want to buy .of course buy FOCUS.
when nobody talk about fintec..then will only come."
