"hwgb_urls_link","hwgb_urls_date_date","hwgb_urls_date_user","hwgb_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Nov 22, 2018 2:01 PM","Angielim9955","From lowest up to now
Near 3 times told
Best"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jan 7, 2019 10:08 PM","SweetNovember","Rubbish counter"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jan 10, 2019 12:00 PM","j450n","since when did this counter reach RM0.55? do you mean RM0.055"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jan 10, 2019 12:05 PM","Gom King","just fyi, this company around year 2015-2017 has allocated a fair of share to their employee, depending on how many years the employee has working for them for example if a employee has working for around 4 year they get around 30.000 stock with price around Rm0.55, some over 10year or have high position will get allocated shares over 100-300thousand for the employee to buy with the agreed prices of Rm0.55. and everyone who get the allocated stock waiting for the stock price to rise but seems like it just free jump since then... lol..."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jan 10, 2019 12:07 PM","Gom King","around 2015, they allocated the stock with price 0.45-0.55 if not wrong... cause its already few years ago...."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jan 15, 2019 11:40 PM","Crasd123","Buy Huuaan"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Feb 21, 2019 7:20 AM","Crasd123","The fck Director , cbai haram Direc Huaan hv cheat employee to buy 0.55, then retructure 5""1, now only 0.11,,,,,fck anak haram Director Huaan"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Feb 21, 2019 7:21 AM","Crasd123","GmFck director HWGB, not Huaan"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Feb 21, 2019 7:22 AM","Crasd123","Hwgb Directir crash in air after cheat all employess"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Feb 27, 2019 2:26 PM","209291","long time never hear ""something is brewing"" here already XD"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Feb 28, 2019 1:50 PM","yukchian","accumulating..."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Mar 12, 2019 2:48 PM","vigthegreat","No action."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Apr 1, 2019 9:39 AM","David Chan","HWGB"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Apr 1, 2019 10:02 AM","Tim2812","Huat huat huat rrrrr..."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Apr 1, 2019 8:40 PM","SweetNovember","Rubbish!"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Apr 1, 2019 8:43 PM","genius","0.185 is coming"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 5, 2019 12:49 PM","aris743","hwgb kumpul 10.5 c"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Jul 18, 2019 12:41 PM","aris743","hwgb start the engine"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Jul 22, 2019 1:45 AM","tuapuikia","RM1 when ?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Jul 23, 2019 8:04 AM","tklim","BUY 0.1
Target1: 0.11
Target2: 0.13
Target3: 0.17
Target4: 0.2"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Aug 10, 2019 7:49 PM","Dinasd123","Coming , HDBS"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Aug 10, 2019 10:05 PM","David Chan","what is HDBS?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Dec 9, 2019 9:08 AM","tuapuikia","for real ?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Jan 10, 2020 7:21 PM","ahkiang","got any related with Genting @@?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Jan 10, 2020 7:22 PM","ahkiang","sound like luxury bus company fetch ppl go genting"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Jan 21, 2020 7:25 PM","shootingstar888","Uesless share.... don’t try to be conned again"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Feb 20, 2020 10:39 PM","deep438","something quietly cooking in this counter. 100 odd million shares crossed off market between Dec and Jan this year. Last few days someone slowly collecting. watch"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Feb 21, 2020 10:30 AM","cutecutepanda","entry price is how much?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 13, 2020 6:10 PM","Legend","Waaa..org dalam semua beli ini..."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 13, 2020 9:48 PM","Legend","The Board of Directors wishes to announce that Ho Wah Genting Berhad
(“HWGB” or the Company”) had on 3 April 2020 received a letter of authorisation dated 20 March 2020 from Wuhan Easydiagnosis Biomedicine Co. Ltd.(“WEBC”), for the authorisation of HWG Consortium Sdn Bhd (a wholly owned subsidiary of HWGB) as the distributor of its COVID-19 Nucleic Acid Test Kit and Nucleic Acid Extraction Reagent in Malaysia (“Products”) (“Authorisation”). The validity of the Authorisation is from 20 March 2020 to 20 March 2021.
Subsequently, the Company had also on 3 April 2020 submitted an application to the Ministry of Health, Malaysia for the certification of the Products."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 14, 2020 8:54 AM","张晋荣","ni stok ada buaya....lol"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 14, 2020 9:49 AM","Shareview123","Since beginning of 2011, almost 10 years, can monitor this counter again, almost cornered."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 14, 2020 9:54 AM","Shareview123","Between 2010 and 2011, within a year pushed up from below 0.20 to 1.0 by using the story of tin mining, this year should be tourism topics now changed to Covid 19 agenda."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 14, 2020 10:20 PM","DailyTrader1818","Tp 0.205"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 14, 2020 10:21 PM","tuapuikia","tp 50 cents"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 15, 2020 10:24 PM","tklim","BUY 0.2
Target1: 0.22
Target2: 0.25
Target3: 0.3
Target4: 0.33"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 16, 2020 9:34 PM","rsim03","Went to north tomorrow..."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 16, 2020 9:48 PM","shootingstar888","I believe so, only one direction, to the moon...."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 16, 2020 10:07 PM","Win1388","https://www.bursamalaysia.com/market_information/announcements/company..."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 16, 2020 10:08 PM","Win1388","http://www.yiling.cn/plus/view.php?aid=9225"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 1:03 AM","yukchian","Good news in corner, check this out.."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 1:17 AM","jameslym","haha 1.00 long long time ago lol....now got 0.30 already good"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 1:49 PM","John Teng","not to the moon...to Mars now!!
!"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 3:43 PM","209291","tml limit up"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 4:43 PM","yukchian","Tomorrow is Saturday, bro"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 4:58 PM","creamypie4","crazy counter"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 7:13 PM","209291","yukchian...what i mean is it wont limit up"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 7:33 PM","yukchian","Tomorrow is SAturday, no working"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 8:18 PM","nighthunter","directors are collecting... something's brewing quietly"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 8:34 PM","AAAwell","How you know directors collecting nighthunter?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 9:46 PM","yukchian","AAAwell, read Bursa Announement"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 17, 2020 10:24 PM","AAAwell","Could u send the link? I couldn't find"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 18, 2020 8:10 AM","Hunter8888","gogo 0.30 this month hehe"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 18, 2020 4:27 PM","tuapuikia","go go go"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 18, 2020 4:35 PM","mf","(Reuters) - Singapore's health ministry confirmed 942 new coronavirus infections on Saturday, a new daily record, taking the total number of COVID-19 cases in the city-state to 5,992.
powered by Rubicon Project
The vast majority of the new cases are of ""work permit"" holders living in foreign worker dormitories, the health ministry said in a statement on Saturday."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 20, 2020 8:54 AM","yukchian","Buy before regret"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 20, 2020 9:13 AM","fregend","Will 2011 happen again, tp 0.50"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 20, 2020 9:22 AM","yukchian","We hope"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 20, 2020 10:01 AM","tuapuikia","Buy and TP 30 cents"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 20, 2020 10:18 AM","Koon Bee","In 2011, I bought 0.17 and sold 0.22 with 12k++ profit because I need cash to pay my house downpayment, but within 3 months after that it go up to RM1... DLLM"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 21, 2020 8:47 AM","AAAwell","Insider silently collected the shares .. Brewing ?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 21, 2020 9:52 AM","yukchian","HWGB drop but HWGB-WD up , hmmmm.. something happen?!"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 21, 2020 12:26 PM","AAAwell","It's a trap!!"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 21, 2020 1:13 PM","yukchian","It's trap to sell the stock to them or they wanna sell it off?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 21, 2020 1:42 PM","Hunter8888","trap to sell the stock to them."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=40","Apr 21, 2020 1:43 PM","Hunter8888","after afternoon price will back 0.20"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 4:54 PM","creamypie4","Nice trap"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 5:34 PM","Hunter8888","a trap for us to sell to them.those who sell early are very crying.more higher come."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 5:56 PM","yukchian","i buy back 0.19, 0.2 and 0.205"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 5:58 PM","Legend","Ngam..hopefully tomorrow up..."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 7:18 PM","AAAwell","Tmr gap down first"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 9:13 PM","Hunter8888","stable price...next level 0.250 hehehe.gogo up"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 11:09 PM","Win1388","The Board of Directors wishes to announce that Ho Wah Genting Berhad
(“HWGB” or the Company”) had on 3 April 2020 received a letter of authorisation dated 20 March 2020 from Wuhan Easydiagnosis Biomedicine Co. Ltd.(“WEBC”), for the authorisation of HWG Consortium Sdn Bhd (a wholly owned subsidiary of HWGB) as the distributor of its COVID-19 Nucleic Acid Test Kit and Nucleic Acid Extraction Reagent in Malaysia (“Products”) (“Authorisation”). The validity of the Authorisation is from 20 March 2020 to 20 March 2021.
Subsequently, the Company had also on 3 April 2020 submitted an application to the Ministry of Health, Malaysia for the certification of the Products. 董事会谨此宣布，豪华云顶有限公司（“ HWGB”或“公司”）已于2020年4月3日收到武汉明德生物医学有限公司（“ WEBC”）于2020年3月20日的授权书。获得HWG Consortium Sdn Bhd（HWGB的全资子公司）作为其COVID-19核酸测试试剂盒和核酸提取试剂在马来西亚的经销商（“产品”）（“授权”）。授权的有效期为2020年3月20日至2021年3月20日。
随后，公司还于2020年4月3日向马来西亚卫生部提交了产品认证的申请。
关于WEBC的信息
WEBC（在深圳证券交易所上市，股票代码：002932），主要营业地点位于高新市武汉光谷国际生物制药企业促进剂3.1期25栋1楼（3）1号楼3室。湖北省武汉市东湖高新技术开发区二路430074，是一家体外诊断制造商，专门从事即时检测快速诊断试剂和相关设备的开发，生产和销售。 WEBC被中华人民共和国商务部授权出口医疗产品。 http://www.mdeasydiagnosis.com/en/aboutus/"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 11:26 PM","AAAwell","Dow drop tmr will gap down"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 11:27 PM","Win1388","Today Shenzhen Stock Exchange UMA This company 3 Days limit up 2 time Wuhan Easydiagnosis Biomedicine Co. Ltd Code: (002932)"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 11:29 PM","Win1388","证券代码：002932 证券简称：明德生物 公告编号：2020-013
武汉明德生物科技股份有限公司
股票交易异常波动公告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、股票交易异常波动的情况介绍
武汉明德生物科技股份有限公司（以下简称“公司”）股票交易价格连续3个交易日（2020年4月17日、2020年4月20日、2020年4月21日）收盘价格涨幅偏离值累计超过20%，根据《深圳证券交易所交易规则》有关规定，属于股票交易异常波动的情况。
二、对重要问题的关注、核实情况说明
针对公司股票异常波动情况，公司对有关事项进行了核查，并询问了公司控股股东及实际控制人，现将有关情况说明如下：
1、媒体报道、市场传闻、热点概念情况
关于公司新冠病毒检测试剂盒相关情况的说明：
公司新型冠状病毒2019-nCoV核酸检测试剂盒（荧光PCR法）获得国家药品监督管理局应急审批，取得医疗器械注册证（具体内容详见2020年3月13日披露的《关于取得医疗器械注册证的公告》，公告编号：2020-011）。
同时，公司新型冠状病毒核酸检测试剂盒、核酸提取试剂、新型冠状病毒IgM/IgG抗体检测试剂盒(胶体金法)、血气分析仪、血气检测试剂盒、高敏C反应蛋白（hs-CRP）检测试剂盒共6个产品获得欧盟CE准入，拥有进入欧盟市场资格。
目前新冠疫情持续时间无法准确估计，且国内外多家科研机构和厂家的同类检测产品不断增加，市场对新冠病毒检测试剂盒的需求存在较大的不确定性，公司目前尚无法预测新冠病毒检测试剂盒销售对公司未来业绩的影响。2、公司已披露的经营情况
受新冠病毒疫情、公司加大研发投入及公司为支援抗疫而大量捐赠影响，预计公司一季度业绩同比下降70%—100%（具体内容详见2020年4月15日披露的《2020年第一季度业绩预告》，公告编号：2020-012）。
3、公司、控股股东和实际控制人不存在关于公司的应披露而未披露的重大事项，或处于筹划阶段的重大事项；
4、控股股东、实际控制人在股票交易异常波动期间不存在买卖公司股票的情形；
5、公司不存在违反公平信息披露的情形。
三、是否存在应披露而未披露信息的说明
公司董事会确认，公司目前没有任何根据《深圳证券交易所股票上市规则》等有关规定应予以披露而未披露的事项或与该事项有关的筹划、商谈、意向、协议等；董事会也未获悉公司有根据《深圳证券交易所股票上市规则》等有关规定应予以披露而未披露的、对公司股票及其衍生品种交易价格产生较大影响的信息；公司前期披露的信息不存在需要更正、补充之处。
四、关于2019年度利润分配方案的预披露
公司预定于2020年4月30日披露《2019年年度报告》，根据深交所的相关规定，如股价异动发生在年度报告或半年度报告披露前10个交易日内，应当对利润分配预案进行预披露。2019年度，公司拟以2019年12月31日公司总股本66,585,147股为基数，向公司全体股东每10股派发现金红利1元（含税）。（注：本次利润分配预案仅代表提议人及与会董事的个人意见，并非董事会决议，具体利润分配预案需经董事会审议及股东大会审议通过后方可实施。）
五、风险提示
1、经自查，公司不存在违反信息公平披露的情形。
公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
2、公司董事会郑重提醒广大投资者：公司指定信息披露媒体为《中国证券报》、《上海证券报》、《证券时报》、《证券日报》和巨潮资讯网（http://www.cninfo.com.cn），公司所有信息披露均以上述媒体刊登的公告为准。公司将严格按照有关法律法规的规定和要求，认真履行信息披露义务，及时做好信息披露工作。敬请广大投资者理性投资，注意风险。
特此公告。
武汉明德生物科技股份有限公司
董 事 会
2020年4月21日"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 21, 2020 11:32 PM","Win1388","HWGB The Company had also on 3 April 2020 submitted an application to the Ministry of Health, Malaysia for the certification of the Products. Coming soon approval........."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 22, 2020 2:24 AM","nighthunter","foreign investors detected pumping-in"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 22, 2020 9:27 AM","fregend","Check out Wuhan Easydiagnosis Biomedicine 002932 stock code in Shenzhen exchange, no wonder up"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 22, 2020 9:47 AM","AAAwell","Easily will break 0.250!"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 22, 2020 3:38 PM","Boneka","These new Covid-19 test kits are of high standard & very reliable. MOH""s approval shouldn't be a problem: -
""COVID-19 Nucleic Acid Test Kit and Nucleic Acid Extraction Reagent."""
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 22, 2020 3:39 PM","hallick","https://www.bloomberg.com/quote/002932:CH
Wuhan Easydiagnosis Biomedicine Co Ltd
002932:CH"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 22, 2020 8:55 PM","AAAwell","If dow close green gap up tmr!"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 22, 2020 9:53 PM","wsv6138","3 cents up possible"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 22, 2020 10:44 PM","AAAwell","https://www.klsescreener.com/v2/news/view/668147"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 23, 2020 10:47 AM","AAAwell","Got show later"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 23, 2020 10:52 AM","yukchian","Queue 0.195"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 23, 2020 10:57 AM","Win1388","http://m.mdeasydiagnosis.com/news/878.html?from=singlemessage"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 23, 2020 11:00 AM","AAAwell","Just now I Enter at 0.200"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=41","Apr 23, 2020 11:13 AM","Win1388","The Board of Directors of the Ho Wah Genting Berhad (“HWGB” or “the Company”) wishes to announce that its wholly owned subsidiary, HWG Consortium Sdn Bhd (“HWG Consortium”) had on 15 April 2020 (duly signed copy received on 16 April 2020) entered into a Memorandum of Understanding (“MOU”) with Shijiazhuang Yiling Pharmaceutical Co., Ltd. (Shenzhen Stock Exchange: 002603) (“SYP”) (herein after known as the “Parties”) .
https://www.bursamalaysia.com/market_information/announcements/company..."
