"maybank_url_link","maybank_url_date_date","maybank_url_date_user","maybank_url_date_comments"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 12:59 PM","Jaya","Becoz they removed his postings and he came out under other aliases"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 2:52 PM","Jaya","In different counter"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 2:52 PM","Kaxak84",""
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 4:26 PM","1128","anybody can remove any post lah... maynot be i3. you don't believe you try remove my post. sure can one.. just say abuse"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 6:22 PM","Jaya","1128
From iPhone cannot la"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 6:22 PM","Jaya","Most probably desktop only"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 8:07 PM","1128","Smartphone can... confirmed"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 20, 2019 9:57 AM","Jaya","This share is cheap even at today’s price
Wait till March for div and see what price the drp"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 20, 2019 9:58 AM","Sarara",""
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 21, 2019 10:50 AM","Jaya","Rumour is that their next qtr results are very good"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 21, 2019 12:55 PM","Jaya","raja
So is mine"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 21, 2019 12:55 PM","Jaya","At times you got to go with hunches"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 21, 2019 4:08 PM","Jaya","Why did it go up 14c Friday"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 22, 2019 9:18 AM","MyFashions Cloth","What is the nearest target"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 24, 2019 9:39 AM","isaac225","if no big issue happen i believe can up to the nearest resistance 9.64 before cny.."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 25, 2019 2:55 PM","zKingDB","isaac225.....ya reached 9.64....yeah"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 25, 2019 4:13 PM","masterus","Lonbisc share price 0.565. NTA 2.07.
EPS 5.42sen. P/E Ratio 10.33. Roe 2.62%"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 25, 2019 4:34 PM","wilson","9.8 next ?"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 25, 2019 5:21 PM","isaac225","haha foresee rm10 before CNY ba...so that got ang pao.."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 27, 2019 7:40 AM","LouiseS","Last 5 years EPS was fairly constant, range from 61 to 75 sen per share, the PE ratio is slightly high at 13, the ROE at 10%, and dividend yield at 5.90%.
https://louisesinvesting.blogspot.com/2019/01/preliminary-screening-of..."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 28, 2019 3:15 PM","Luodi","I forsee it will touch rm10 for cny rally soon!"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 29, 2019 11:11 AM","Parttimer","PE ratio at 13 is slightly high? funny la..."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 30, 2019 4:49 PM","Enemiemannan","epf cash out for your dividennnnnnnnnn"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Jan 30, 2019 4:49 PM","Enemiemannan","i forsee red sea until mid of feb"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 1, 2019 4:50 PM","OPR_must_cut","M'sia's inflation rate to average between 1.6 and 2pct this year - Guan Eng
https://www.malaysiakini.com/news/462508"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 8, 2019 3:12 PM","David Liew","Maybank's future outlook have potential
Based on the PE, market is still willing to overvalue the stock
https://klse.i3investor.com/blogs/MayBank/192709.jsp"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 9, 2019 6:55 PM","beinvested","Disposed on 29Jan and acquired on the next day. Why like that? Suppressing the price and buy at a lower price?
Surely EPF has been doing a great job all this while, i mean since years ago. This scheme really worked very well. Workers have their cash placed into EPF monthly, whereby EPF will have to earn the handsome profits from the investment using the workers' money. EPF just dare not declare any annual dividend which is lower than interest earned from a bank (e.g FD rate) because it appeared that EPF must have earned much higher profit so to enable it to pay a reasonably high dividend rate to the workers."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 14, 2019 11:53 AM","Hafid","maybank issue again on scomi"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 19, 2019 9:18 AM","Undi_PAS","Why lower interest rate LGE said banks must charge to SME not all listed companies?"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 20, 2019 5:11 PM","Parttimer","yawn..."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 21, 2019 5:19 PM","SuperVegetto","ringgit getting stronger... last chance to buy maybank before next week super QR"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 25, 2019 2:35 PM","mancingbursa","Today qr announcement.."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 25, 2019 2:36 PM","VSOLAR Sailang Margin All In","shitty qr"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 25, 2019 4:21 PM","isaac225","QR already announce?how shitty?"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 25, 2019 8:48 PM","SuperVegetto","EPS more than 20 if im right. :)"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 1:20 PM","2018HengHeng","Qr 4 EPS 21.05cents, nice"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 1:38 PM","Jururawat","Maybank group president and CEO Datuk Abdul Farid Alias said the group continued to benefit from its strong franchise in the region as well as its strong fundamentals.
KUALA LUMPUR: Malayan Banking Bhd posted record net profit of RM8.11bil in the financial year ended Dec 31, 2018 boosted mainly by higher loans growth, lower overhead costs as well as lower provisioning.
Maybank, Southeast Asia’s fourth largest bank by assets, announced on Tuesday net profit rose by 7.9% from the RM7.52bil in FY17. Pre-tax profit increased by 8% to RM10.91bil from RM10.10bil a year ago.
Its revenue increased by 3.8% to RM47.32bil from RM45.58bil. It announced a dividend of 32 sen for the final quarter.
In the fourth quarter, its net profit rose by 9.1% to RM2.33bil from RM2.13bil while revenue increased by 3.8% to RM12.33bil from RM11.78bil.
Maybank chairman, Datuk Mohaiyani Shamsudin said the results reflected the underlying strength and resilience of the group, which had to contend with an extremely challenging year in 2018.
“Our strategy of growing responsibly, while managing expenses and pricing in a disciplined manner, were key factors that enabled us to remain on a steady growth trajectory despite the heightened volatility in global markets,” she said.
Mohaiyani also said the proposed final single-tier dividend of 32 sen per share would be made under its dividend reinvestment plan. It comprises a 15 sen cash portion and a 17 sen electable portion which can be reinvested into new ordinary shares or paid in cash.
“Together with the 25 sen interim dividend declared earlier, the full year dividend payout of 57 sen per share amounts to RM6.3bil or 77.3% of net profit.
“The total dividend payout also translates into a higher dividend yield of 6.0% (vs 5.6% in 2017), again placing Maybank as one of the banks offering the highest dividend yields in the region,” she said.
Group president and CEO Datuk Abdul Farid Alias said the group continued to benefit from its strong franchise in the region as well as its strong fundamentals, which gave it the capacity to navigate through the challenging year.
“We remain cautious over the global operating environment given continued geopolitical concerns as well as volatility in commodity prices, although we expect greater stability in the domestic market arising from measures being put in place to ensure sustainable growth,” he said.
“We believe we can leverage business opportunities in ASEAN where the economies will show respectable growth, while at the same time, benefit from our focus on digitalisation which will help us achieve better efficiencies and new frontiers in customer experience.”
Its revenue increased by 3.8% to RM47.32bil from RM45.58bil. It announced a dividend of 32 sen for the final quarter.
In the fourth quarter, its net profit rose by 9.1% to RM2.33bil from RM2.13bil while revenue increased by 3.8% to RM12.33bil from RM11.78bil.
Maybank chairman, Datuk Mohaiyani Shamsudin said the results reflected the underlying strength and resilience of the group, which had to contend with an extremely challenging year in 2018.
“Our strategy of growing responsibly, while managing expenses and pricing in a disciplined manner, were key factors that enabled us to remain on a steady growth trajectory despite the heightened volatility in global markets,” she said.
Mohaiyani also said the proposed final single-tier dividend of 32 sen per share would be made under its dividend reinvestment plan. It comprises a 15 sen cash portion and a 17 sen electable portion which can be reinvested into new ordinary shares or paid in cash.
“Together with the 25 sen interim dividend declared earlier, the full year dividend payout of 57 sen per share amounts to RM6.3bil or 77.3% of net profit.
“The total dividend payout also translates into a higher dividend yield of 6.0% (vs 5.6% in 2017), again placing Maybank as one of the banks offering the highest dividend yields in the region,” she said.
Group president and CEO Datuk Abdul Farid Alias said the group continued to benefit from its strong franchise in the region as well as its strong fundamentals, which gave it the capacity to navigate through the challenging year.
“We remain cautious over the global operating environment given continued geopolitical concerns as well as volatility in commodity prices, although we expect greater stability in the domestic market arising from measures being put in place to ensure sustainable growth,” he said.
“We believe we can leverage business opportunities in ASEAN where the economies will show respectable growth, while at the same time, benefit from our focus on digitalisation which will help us achieve better efficiencies and new frontiers in customer experience"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 2:23 PM","Jaya","rajachulan
Now you believe or not
This is a very good strong company with very good fundamentals brother"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 2:24 PM","Jaya","This company’s share price in my opinion should be more then 10.15 at least"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 2:33 PM","RainT","when you will limit down ?
oh MAYBANK
I am waiting to buy at lower price
but your share price is up and up"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 2:35 PM","Vulture123","Very good QR results and dividend. No brainer ..... Switching from TM to Maybank."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 2:39 PM","armadasaxon","sell..last year after announce result oso no go up..hehehe"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 2:45 PM","Vulture123","Screaming Buy at today’s low of 9.53 ...> 10 by next month before Ex-Dividend !"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 3:04 PM","Vulture123","Vulture Fund will gobbled up the huge Sell Q at 9.53-9.55 -))) based on such attractive dividend yield."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 3:07 PM","2018HengHeng","I hope share price up slowly. at least at 10"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 3:12 PM","GreenTrade","Maintain Outperform
Maybank is an international brand with world class fundamentals."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 3:39 PM","Dickyyou","PH/BN same. Banks most profitable when rakyat and the rest must suffer. Change to govn(or PM) who can control the banks."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 4:15 PM","Jaya","Dickyyou
Like your brother dickyme talk shit only la you"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 6:15 PM","Kalaihselvan Krishnan","People who got nothing good to say should go to other counters. Most talk nonsense and like they are the experts."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 7:13 PM","Mary Tan Ling","@Kalaihselvan, ya agree with you, all the nonsense"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 7:52 PM","sink or swim ..","no response after stellar performance"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 26, 2019 8:00 PM","ionlywanttoearn","Tmw early morning limit up lol"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 27, 2019 12:35 AM","stevenwongg","https://www.facebook.com/%E8%82%A1%E5%B8%82%E8%AE%BA%E8%BF%B0-22641875..."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 27, 2019 9:11 AM","888newbie","Record earnings. Well done. Best Malaysian bank."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 27, 2019 11:51 AM","alivetoinvest","Long term stock.
not for traders."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 27, 2019 11:54 AM","Fabien _the efficient capital allocator","yes, long term stock. even at current price, yield is at 6%"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 27, 2019 12:13 PM","GreatDreamer","Macquire Research prefer Maybank over Sluggish Public Bank.
https://klse.i3investor.com/blogs/kltrader/195252.jsp
There are more growth drivers in Maybank than Public.
The tide has turn becouse of the rise of digital banking few year back. Maybank has the advantage of cheapest cost of fund & dominate malaysia digital banking landscape. In the near future, Nearly all Malaysian need a maybank account to do transaction. Something like, when Malaysian fly, they cannot foreever avoid Airasia.
There are room for maybank share price to rise in longer term, as there is valuation gap with public bank (Price/Book : Maybank 1.4x vs Public 2.4x)."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 27, 2019 12:21 PM","Vulture123","With the record earnings and final Single Tier dividend of 32 sen (or 3.36% based on share price of 9.53) to be paid soon, accumulation at 9.53 after the QR announcement yesterday will generate very good dividend returns and also high likelihood of capital gains in light of the excellent financial results."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=173","Feb 27, 2019 2:40 PM","mancingbursa","Clash Over US$2b of debt at Singapore's Hyflux heats up
Read more at https://www.thestar.com.my/business/business-news/2019/02/27/clash-ove..."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 27, 2019 2:53 PM","mancingbursa","Too high div given prevent company growth"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 27, 2019 7:06 PM","armadasaxon","Jus on time..hyflux..wait it go down..then buy."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 27, 2019 9:28 PM","alivetoinvest","Hyflux loans have been fully negatively impaired in FY18Q2. All its downside has been reflected and taken into consideration.
It will not affect Maybank's future profits.
However, there could only be an impairment gain in future if Hyflux works something out.
If that happens, Maybank could reach RM15 in a shorter period of time (Since its going in that direction anyway)
Happy trading"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 5:19 AM","Jaya","This share is a winner since 1990
I shall always keep it as my bonus every year
Don’t tell the wife ha"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 9:04 AM","saham4u","MBB not bad, steady punya kaunter. saya suka"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 11:36 AM","Parttimer","slow and steady kita pergi >RM 10"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 4:58 PM","KassimBaba7","Maybank posts a good quarter - some babi throws of 3.8 million shares at close for -5 sen today... Cabutlah u.. I want my dividend.."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 4:59 PM","Cynthiakek","when is ex date?"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 5:01 PM","apprentice","Don't be upset Kassim. You will get your dividend of 32 sen even if MBB is 8.00. It has to do with Hyflux.
Anyway for those subscribing to DRIP, the lower the price, the more shares we get for free."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 6:42 PM","Jaya","apprentice
What price drp"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 7:06 PM","wkl318","People sell or buy for various reasons, so nothing to be upset about a massive throw down. If more people throw down such that price falls to 8.00 so much the better. Then you sell your other shares and buy maybank shares super cheap with super dividend yield. Then wait and the price will recover. This simple."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 7:14 PM","apprentice","DRP price not determined yet but I predict about 8.70 - 8.80."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 7:26 PM","Jaya","apprentice
That will be nice"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Feb 28, 2019 7:26 PM","Jaya","Thanks"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 2, 2019 5:31 PM","Jaya","Apprentice
Last time 8.80"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 2, 2019 5:39 PM","VSOLAR Sailang Margin All In","horrendous work culture, sooner or later this one will bungkus really."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 2, 2019 6:04 PM","apprentice","So long as PNB/ASB a major shareholder of MBB, nothing much will change, that includes the price."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 2, 2019 6:08 PM","VSOLAR Sailang Margin All In","just pray they don't go too aggressive in this oil bull run like the last time lol, or else after that sure impair here impair there"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 2, 2019 6:08 PM","VSOLAR Sailang Margin All In","but by the looks the management, they will do it again to retain their status as the market leader, after this round of oil crash, we will see history repeats itself"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 2, 2019 6:19 PM","apprentice","I miss the days of Wahid Omar. More confidence in his style and thinking than present management."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 4, 2019 8:11 PM","Powersearch","This is the only share i never loose money although i m stall time investor. My average cost is at Rm9.55 with the dividend coming the cost shall becoming less n less"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 4, 2019 8:12 PM","VSOLAR Sailang Margin All In","you're lucky powersearch, this company can definitely do better with better management and work culture though."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 4, 2019 11:21 PM","Tigerbeer","Don't understand, why DY dropped from 6% to 2%?? Based on klse screener app"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 6, 2019 1:02 AM","tipumakan","dont worry. it will still 6% in real. if profit can maintain"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 6, 2019 3:12 PM","Cynthiakek","when is Exdate?"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 6, 2019 8:21 PM","newbie2019","Not announced yet.... I am still waiting..."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 7, 2019 11:22 AM","Cynthiakek","Ok. thanks"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 7, 2019 6:51 PM","armadasaxon","Lol still very long la.."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 11, 2019 9:13 AM","masterus","https://youtu.be/e7eA9bV0nps"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 11, 2019 5:27 PM","smissions","Tigerbeer KLSE Screener resets the DY every fiscal year (it is not cumulative) - this fiscal year dividend declared 0.25, so this FY yield is 0.25/9.48 = 2.63%."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=174","Mar 11, 2019 6:13 PM","tehka","What is happen to our klci? Why so red?"
